p = 11, N = 20000   (rate = digits gained per tower level)
family         w  chi    arch. limit            v_p(Lambda_a)    rate a=1 / a=2
A_Franel       2  1      zeta(2)/4              [0, 0]           3,6,9,12  |  3,6,9   (0s)
B_none         2  chi-3  NONE (complex roots)   [0, 0]           0,0,0,0  |  0,0,0   (0s)
C              2  chi-3  L_{-3}(2)/2            [0, 0]           0,0,0,0  |  0,0,0   (0s)
D_zeta2        2  1      zeta(2)/5              [0, 0]           3,6,9,12  |  3,6,9   (0s)
E              2  chi-4  G/2                    [0, 0]           0,0,0,0  |  0,0,0   (0s)
F              2  chi-3  (5/8)L_{-3}(2)         [0, 0]           0,0,0,0  |  0,0,0   (0s)
alpha_Domb     3  1      7zeta(3)/24            [0, 0]           3,6,9,12  |  3,6,9   (0s)
gamma_Apery    3  1      zeta(3)/6              [0, 0]           3,6,9,12  |  3,6,9   (1s)
delta_none     3  1      NONE (complex roots)   [0, 0]           3,6,9,12  |  3,6,9   (0s)
epsilon        3  1      7zeta(3)/32            [0, 0]           4,7,10,13  |  3,6,9   (0s)
zeta_seq       3  chi-3  L_{-3}(3)/3            [0, 0]           0,0,0,0  |  0,0,0   (1s)
eta_none       3  chi5   NONE (complex roots)   [0, 0]           3,6,9,12  |  3,6,9   (0s)
s7             2  1      zeta(2)/7              [0, 0]           3,6,9,12  |  3,6,9   (0s)
s10            2  1      zeta(2)/5              [0, 0]           3,6,9,12  |  3,6,9   (0s)
s18            2  chi-3  L_{-3}(2)/2            [0, 0]           0,0,0,0  |  0,0,0   (1s)
