tried 5104 (point,t) combos; E5-consistent hits: 87
  (a,b,c,d;t)=(-3,-2,3,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-3,-1,3,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-3,1,-3,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-3,2,-3,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-2,-3,2,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-2,-3,2,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-2,-1,0,1;2)  t3=-32  (u5,s5,t5)=(0,0,-256) rk=20 null=1
  (a,b,c,d;t)=(-2,-1,2,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-2,-1,2,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-2,1,-2,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-2,3,-2,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-1,-3,-1,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-1,-3,1,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-1,-2,1,0;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-1,-2,1,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-1,-1,-1,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-1,-1,1,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-1,-1,1,1;1)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-1,-1,1,1;-1)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-1,-1,1,1;2)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-1,-1,1,1;3)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-1,0,1,0;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-1,0,1,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-1,0,1,2;1)  t3=1  (u5,s5,t5)=(0,0,33/4) rk=17 null=4
  (a,b,c,d;t)=(-1,0,1,2;-1)  t3=-1  (u5,s5,t5)=(0,0,-31/4) rk=17 null=4
  (a,b,c,d;t)=(-1,0,1,2;2)  t3=2  (u5,s5,t5)=(0,0,17) rk=17 null=4
  (a,b,c,d;t)=(-1,0,1,2;3)  t3=3  (u5,s5,t5)=(0,0,105/4) rk=17 null=4
  (a,b,c,d;t)=(-1,1,-1,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-1,1,1,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(-1,2,-1,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(-1,3,-1,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-3,-2,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-3,-1,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-2,-1,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-2,1,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-2,3,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-1,0,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(0,-1,1,0;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-1,1,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-1,2,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-1,2,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,-1,3,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,0,1,1;1)  t3=0  (u5,s5,t5)=(0,0,0) rk=15 null=6
  (a,b,c,d;t)=(0,0,1,1;-1)  t3=0  (u5,s5,t5)=(0,0,0) rk=15 null=6
  (a,b,c,d;t)=(0,0,1,1;2)  t3=0  (u5,s5,t5)=(0,0,0) rk=15 null=6
  (a,b,c,d;t)=(0,0,1,1;3)  t3=0  (u5,s5,t5)=(0,0,0) rk=15 null=6
  (a,b,c,d;t)=(0,1,0,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=17 null=4
  (a,b,c,d;t)=(0,1,1,0;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,1,1,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,1,2,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,1,2,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,1,3,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,2,-1,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,2,1,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,2,3,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,3,-2,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(0,3,-1,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(1,-3,-1,3;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(1,-2,-1,2;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
  (a,b,c,d;t)=(1,-1,-1,1;0)  t3=0  (u5,s5,t5)=(0,0,0) rk=20 null=1
tried 12944; NONTRIVIAL hits (some row coeff != 0): 5
  (a,b,c,d;t)=(-2,-1,0,1;2) t3=-32 (u5,s5,t5)=(0,0,-256)
  (a,b,c,d;t)=(-1,0,1,2;1) t3=1 (u5,s5,t5)=(0,0,33/4)
  (a,b,c,d;t)=(-1,0,1,2;2) t3=2 (u5,s5,t5)=(0,0,17)
  (a,b,c,d;t)=(1,0,1,2;1) t3=1 (u5,s5,t5)=(0,0,31/4)
  (a,b,c,d;t)=(1,0,1,2;2) t3=2 (u5,s5,t5)=(0,0,15)
